Median;Minimum;Maximun;Variance
0.97;2.73;4.37;8.36
4.34;3.79;6.50;12.17
7.42;5.56;7.32;4.88
3.33;10.76;1.48;13.07
9.36;5.56;8.24;9.24
10.60;4.08;6.16;8.80
7.99;11.16;3.48;8.41
5.74;3.84;10.80;13.88
6.14;12.33;10.93;11.17
4.88;9.75;11.95;12.03
